icd_code,long_title
D3120,Benign neoplasm of unspecified retina
D3121,Benign neoplasm of right retina
D3122,Benign neoplasm of left retina
D313,Benign neoplasm of choroid
D3130,Benign neoplasm of unspecified choroid
D3131,Benign neoplasm of right choroid
D3132,Benign neoplasm of left choroid
D314,Benign neoplasm of ciliary body
D3140,Benign neoplasm of unspecified ciliary body
D3141,Benign neoplasm of right ciliary body
D3142,Benign neoplasm of left ciliary body
D315,Benign neoplasm of lacrimal gland and duct
D3150,Benign neoplasm of unspecified lacrimal gland and duct
D3151,Benign neoplasm of right lacrimal gland and duct
D3152,Benign neoplasm of left lacrimal gland and duct
D316,Benign neoplasm of unspecified site of orbit
D3160,Benign neoplasm of unspecified site of unspecified orbit
D3161,Benign neoplasm of unspecified site of right orbit
D3162,Benign neoplasm of unspecified site of left orbit
D319,Benign neoplasm of unspecified part of eye
D3190,Benign neoplasm of unspecified part of unspecified eye
D3191,Benign neoplasm of unspecified part of right eye
D3192,Benign neoplasm of unspecified part of left eye
D32,Benign neoplasm of meninges
D320,Benign neoplasm of cerebral meninges
D321,Benign neoplasm of spinal meninges
D329,"Benign neoplasm of meninges, unspecified"
D33,Benign neoplasm of brain and other parts of central nervous system
D330,"Benign neoplasm of brain, supratentorial"
D331,"Benign neoplasm of brain, infratentorial"
D332,"Benign neoplasm of brain, unspecified"
D333,Benign neoplasm of cranial nerves
D334,Benign neoplasm of spinal cord
D337,Benign neoplasm of other specified parts of central nervous system
D339,"Benign neoplasm of central nervous system, unspecified"
D34,Benign neoplasm of thyroid gland
D35,Benign neoplasm of other and unspecified endocrine glands
D350,Benign neoplasm of adrenal gland
D3500,Benign neoplasm of unspecified adrenal gland
D3501,Benign neoplasm of right adrenal gland
D3502,Benign neoplasm of left adrenal gland
D351,Benign neoplasm of parathyroid gland
D352,Benign neoplasm of pituitary gland
D353,Benign neoplasm of craniopharyngeal duct
D354,Benign neoplasm of pineal gland
D355,Benign neoplasm of carotid body
D356,Benign neoplasm of aortic body and other paraganglia
D357,Benign neoplasm of other specified endocrine glands
D359,"Benign neoplasm of endocrine gland, unspecified"
D36,Benign neoplasm of other and unspecified sites
D360,Benign neoplasm of lymph nodes
D361,Benign neoplasm of peripheral nerves and autonomic nervous system
D3610,"Benign neoplasm of peripheral nerves and autonomic nervous system, unspecified"
D3611,"Benign neoplasm of peripheral nerves and autonomic nervous system of face, head, and neck"
D3612,"Benign neoplasm of peripheral nerves and autonomic nervous system, upper limb, including shoulder"
D3613,"Benign neoplasm of peripheral nerves and autonomic nervous system of lower limb, including hip"
D3614,Benign neoplasm of peripheral nerves and autonomic nervous system of thorax
D3615,Benign neoplasm of peripheral nerves and autonomic nervous system of abdomen
D3616,Benign neoplasm of peripheral nerves and autonomic nervous system of pelvis
D3617,"Benign neoplasm of peripheral nerves and autonomic nervous system of trunk, unspecified"
D367,Benign neoplasm of other specified sites
D369,"Benign neoplasm, unspecified site"
D37,Neoplasm of uncertain behavior of oral cavity and digestive organs
D370,"Neoplasm of uncertain behavior of lip, oral cavity and pharynx"
D3701,Neoplasm of uncertain behavior of lip
D3702,Neoplasm of uncertain behavior of tongue
D3703,Neoplasm of uncertain behavior of the major salivary glands
D37030,Neoplasm of uncertain behavior of the parotid salivary glands
D37031,Neoplasm of uncertain behavior of the sublingual salivary glands
D37032,Neoplasm of uncertain behavior of the submandibular salivary glands
D37039,"Neoplasm of uncertain behavior of the major salivary glands, unspecified"
D3704,Neoplasm of uncertain behavior of the minor salivary glands
D3705,Neoplasm of uncertain behavior of pharynx
D3709,Neoplasm of uncertain behavior of other specified sites of the oral cavity
D371,Neoplasm of uncertain behavior of stomach
D372,Neoplasm of uncertain behavior of small intestine
D373,Neoplasm of uncertain behavior of appendix
D374,Neoplasm of uncertain behavior of colon
D375,Neoplasm of uncertain behavior of rectum
D376,"Neoplasm of uncertain behavior of liver, gallbladder and bile ducts"
D378,Neoplasm of uncertain behavior of other specified digestive organs
D379,"Neoplasm of uncertain behavior of digestive organ, unspecified"
D38,Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs
D380,Neoplasm of uncertain behavior of larynx
D381,"Neoplasm of uncertain behavior of trachea, bronchus and lung"
D382,Neoplasm of uncertain behavior of pleura
D383,Neoplasm of uncertain behavior of mediastinum
D384,Neoplasm of uncertain behavior of thymus
D385,Neoplasm of uncertain behavior of other respiratory organs
D386,"Neoplasm of uncertain behavior of respiratory organ, unspecified"
D39,Neoplasm of uncertain behavior of female genital organs
D390,Neoplasm of uncertain behavior of uterus
D391,Neoplasm of uncertain behavior of ovary
D3910,Neoplasm of uncertain behavior of unspecified ovary
D3911,Neoplasm of uncertain behavior of right ovary
D3912,Neoplasm of uncertain behavior of left ovary
D392,Neoplasm of uncertain behavior of placenta
D398,Neoplasm of uncertain behavior of other specified female genital organs
D399,"Neoplasm of uncertain behavior of female genital organ, unspecified"
D3A,Benign neuroendocrine tumors
D3A0,Benign carcinoid tumors
D3A00,Benign carcinoid tumor of unspecified site
D3A01,Benign carcinoid tumors of the small intestine
D3A010,Benign carcinoid tumor of the duodenum
D3A011,Benign carcinoid tumor of the jejunum
D3A012,Benign carcinoid tumor of the ileum
D3A019,"Benign carcinoid tumor of the small intestine, unspecified portion"
D3A02,"Benign carcinoid tumors of the appendix, large intestine, and rectum"
D3A020,Benign carcinoid tumor of the appendix
D3A021,Benign carcinoid tumor of the cecum
D3A022,Benign carcinoid tumor of the ascending colon
D3A023,Benign carcinoid tumor of the transverse colon
D3A024,Benign carcinoid tumor of the descending colon
D3A025,Benign carcinoid tumor of the sigmoid colon
D3A026,Benign carcinoid tumor of the rectum
D3A029,"Benign carcinoid tumor of the large intestine, unspecified portion"
D3A09,Benign carcinoid tumors of other sites
D3A090,Benign carcinoid tumor of the bronchus and lung
D3A091,Benign carcinoid tumor of the thymus
D3A092,Benign carcinoid tumor of the stomach
D3A093,Benign carcinoid tumor of the kidney
D3A094,"Benign carcinoid tumor of the foregut, unspecified"
D3A095,"Benign carcinoid tumor of the midgut, unspecified"
D3A096,"Benign carcinoid tumor of the hindgut, unspecified"
D3A098,Benign carcinoid tumors of other sites
D3A8,Other benign neuroendocrine tumors
D40,Neoplasm of uncertain behavior of male genital organs
D400,Neoplasm of uncertain behavior of prostate
D401,Neoplasm of uncertain behavior of testis
D4010,Neoplasm of uncertain behavior of unspecified testis
D4011,Neoplasm of uncertain behavior of right testis
D4012,Neoplasm of uncertain behavior of left testis
D408,Neoplasm of uncertain behavior of other specified male genital organs
D409,"Neoplasm of uncertain behavior of male genital organ, unspecified"
D41,Neoplasm of uncertain behavior of urinary organs
D410,Neoplasm of uncertain behavior of kidney
D4100,Neoplasm of uncertain behavior of unspecified kidney
D4101,Neoplasm of uncertain behavior of right kidney
D4102,Neoplasm of uncertain behavior of left kidney
D411,Neoplasm of uncertain behavior of renal pelvis
D4110,Neoplasm of uncertain behavior of unspecified renal pelvis
D4111,Neoplasm of uncertain behavior of right renal pelvis
D4112,Neoplasm of uncertain behavior of left renal pelvis
D412,Neoplasm of uncertain behavior of ureter
D4120,Neoplasm of uncertain behavior of unspecified ureter
D4121,Neoplasm of uncertain behavior of right ureter
D4122,Neoplasm of uncertain behavior of left ureter
D413,Neoplasm of uncertain behavior of urethra
D414,Neoplasm of uncertain behavior of bladder
D418,Neoplasm of uncertain behavior of other specified urinary organs
D419,Neoplasm of uncertain behavior of unspecified urinary organ
D42,Neoplasm of uncertain behavior of meninges
D420,Neoplasm of uncertain behavior of cerebral meninges
D421,Neoplasm of uncertain behavior of spinal meninges
D429,"Neoplasm of uncertain behavior of meninges, unspecified"
D43,Neoplasm of uncertain behavior of brain and central nervous system
D430,"Neoplasm of uncertain behavior of brain, supratentorial"
D431,"Neoplasm of uncertain behavior of brain, infratentorial"
D432,"Neoplasm of uncertain behavior of brain, unspecified"
D433,Neoplasm of uncertain behavior of cranial nerves
D434,Neoplasm of uncertain behavior of spinal cord
D438,Neoplasm of uncertain behavior of other specified parts of central nervous system
D439,"Neoplasm of uncertain behavior of central nervous system, unspecified"
D44,Neoplasm of uncertain behavior of endocrine glands
D440,Neoplasm of uncertain behavior of thyroid gland
D441,Neoplasm of uncertain behavior of adrenal gland
D4410,Neoplasm of uncertain behavior of unspecified adrenal gland
D4411,Neoplasm of uncertain behavior of right adrenal gland
D4412,Neoplasm of uncertain behavior of left adrenal gland
D442,Neoplasm of uncertain behavior of parathyroid gland
D443,Neoplasm of uncertain behavior of pituitary gland
D444,Neoplasm of uncertain behavior of craniopharyngeal duct
D445,Neoplasm of uncertain behavior of pineal gland
D446,Neoplasm of uncertain behavior of carotid body
D447,Neoplasm of uncertain behavior of aortic body and other paraganglia
D449,Neoplasm of uncertain behavior of unspecified endocrine gland
D45,Polycythemia vera
D46,Myelodysplastic syndromes
D460,"Refractory anemia without ring sideroblasts, so stated"
D461,Refractory anemia with ring sideroblasts
D462,Refractory anemia with excess of blasts [RAEB]
D4620,"Refractory anemia with excess of blasts, unspecified"
D4621,Refractory anemia with excess of blasts 1
D4622,Refractory anemia with excess of blasts 2
D464,"Refractory anemia, unspecified"
D469,"Myelodysplastic syndrome, unspecified"
D46A,Refractory cytopenia with multilineage dysplasia
D46B,Refractory cytopenia with multilineage dysplasia and ring sideroblasts
D46C,Myelodysplastic syndrome with isolated del(5q) chromosomal abnormality
D46Z,Other myelodysplastic syndromes
D47,"Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
D470,Mast cell neoplasms of uncertain behavior
D4701,Cutaneous mastocytosis
D4702,Systemic mastocytosis
D4709,Other mast cell neoplasms of uncertain behavior
D471,Chronic myeloproliferative disease
D472,Monoclonal gammopathy
D473,Essential (hemorrhagic) thrombocythemia
D474,Osteomyelofibrosis
D479,"Neoplasm of uncertain behavior of lymphoid, hematopoietic and related tissue, unspecified"
D47Z,"Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
D47Z1,Post-transplant lymphoproliferative disorder (PTLD)
D47Z2,Castleman disease
D47Z9,"Other specified neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
D48,Neoplasm of uncertain behavior of other and unspecified sites
D480,Neoplasm of uncertain behavior of bone and articular cartilage
D481,Neoplasm of uncertain behavior of connective and other soft tissue
D482,Neoplasm of uncertain behavior of peripheral nerves and autonomic nervous system
D483,Neoplasm of uncertain behavior of retroperitoneum
D484,Neoplasm of uncertain behavior of peritoneum
D485,Neoplasm of uncertain behavior of skin
D486,Neoplasm of uncertain behavior of breast
D4860,Neoplasm of uncertain behavior of unspecified breast
D4861,Neoplasm of uncertain behavior of right breast
D4862,Neoplasm of uncertain behavior of left breast
D487,Neoplasm of uncertain behavior of other specified sites
D489,"Neoplasm of uncertain behavior, unspecified"
D49,Neoplasms of unspecified behavior
D490,Neoplasm of unspecified behavior of digestive system
D491,Neoplasm of unspecified behavior of respiratory system
D492,"Neoplasm of unspecified behavior of bone, soft tissue, and skin"
D493,Neoplasm of unspecified behavior of breast
D494,Neoplasm of unspecified behavior of bladder
D495,Neoplasm of unspecified behavior of other genitourinary organs
D4951,Neoplasm of unspecified behavior of kidney
D49511,Neoplasm of unspecified behavior of right kidney
D49512,Neoplasm of unspecified behavior of left kidney
D49519,Neoplasm of unspecified behavior of unspecified kidney
D4959,Neoplasm of unspecified behavior of other genitourinary organ
D496,Neoplasm of unspecified behavior of brain
D497,Neoplasm of unspecified behavior of endocrine glands and other parts of nervous system
D498,Neoplasm of unspecified behavior of other specified sites
D4981,Neoplasm of unspecified behavior of retina and choroid
D4989,Neoplasm of unspecified behavior of other specified sites
D499,Neoplasm of unspecified behavior of unspecified site
D50,Iron deficiency anemia
D500,Iron deficiency anemia secondary to blood loss (chronic)
D501,Sideropenic dysphagia
D508,Other iron deficiency anemias
D509,"Iron deficiency anemia, unspecified"
D51,Vitamin B12 deficiency anemia
D510,Vitamin B12 deficiency anemia due to intrinsic factor deficiency
D511,Vitamin B12 deficiency anemia due to selective vitamin B12 malabsorption with proteinuria
D512,Transcobalamin II deficiency
D513,Other dietary vitamin B12 deficiency anemia
D518,Other vitamin B12 deficiency anemias
D519,"Vitamin B12 deficiency anemia, unspecified"
D52,Folate deficiency anemia
D520,Dietary folate deficiency anemia
D521,Drug-induced folate deficiency anemia
D528,Other folate deficiency anemias
D529,"Folate deficiency anemia, unspecified"
D53,Other nutritional anemias
D530,Protein deficiency anemia
D531,"Other megaloblastic anemias, not elsewhere classified"
D532,Scorbutic anemia
D538,Other specified nutritional anemias
D539,"Nutritional anemia, unspecified"
D55,Anemia due to enzyme disorders
D550,Anemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency
D551,Anemia due to other disorders of glutathione metabolism
D552,Anemia due to disorders of glycolytic enzymes
D5521,Anemia due to pyruvate kinase deficiency
D5529,Anemia due to other disorders of glycolytic enzymes
D553,Anemia due to disorders of nucleotide metabolism
D558,Other anemias due to enzyme disorders
D559,"Anemia due to enzyme disorder, unspecified"
D56,Thalassemia
D560,Alpha thalassemia
D561,Beta thalassemia
D562,Delta-beta thalassemia
D563,Thalassemia minor
D564,Hereditary persistence of fetal hemoglobin [HPFH]
D565,Hemoglobin E-beta thalassemia
D568,Other thalassemias
D569,"Thalassemia, unspecified"
D57,Sickle-cell disorders
D570,Hb-SS disease with crisis
D5700,"Hb-SS disease with crisis, unspecified"
D5701,Hb-SS disease with acute chest syndrome
D5702,Hb-SS disease with splenic sequestration
D5703,Hb-SS disease with cerebral vascular involvement
D5709,Hb-SS disease with crisis with other specified complication
D571,Sickle-cell disease without crisis
D572,Sickle-cell/Hb-C disease
D5720,Sickle-cell/Hb-C disease without crisis
D5721,Sickle-cell/Hb-C disease with crisis
D57211,Sickle-cell/Hb-C disease with acute chest syndrome
D57212,Sickle-cell/Hb-C disease with splenic sequestration
D57213,Sickle-cell/Hb-C disease with cerebral vascular involvement
D57218,Sickle-cell/Hb-C disease with crisis with other specified complication
D57219,"Sickle-cell/Hb-C disease with crisis, unspecified"
D573,Sickle-cell trait
D574,Sickle-cell thalassemia
D5740,Sickle-cell thalassemia without crisis
D5741,"Sickle-cell thalassemia, unspecified, with crisis"
D57411,"Sickle-cell thalassemia, unspecified, with acute chest syndrome"
D57412,"Sickle-cell thalassemia, unspecified, with splenic sequestration"
D57413,"Sickle-cell thalassemia, unspecified, with cerebral vascular involvement"
D57418,"Sickle-cell thalassemia, unspecified, with crisis with other specified complication"
D57419,"Sickle-cell thalassemia, unspecified, with crisis"
D5742,Sickle-cell thalassemia beta zero without crisis
D5743,Sickle-cell thalassemia beta zero with crisis
D57431,Sickle-cell thalassemia beta zero with acute chest syndrome
D57432,Sickle-cell thalassemia beta zero with splenic sequestration
D57433,Sickle-cell thalassemia beta zero with cerebral vascular involvement
D57438,Sickle-cell thalassemia beta zero with crisis with other specified complication
D57439,"Sickle-cell thalassemia beta zero with crisis, unspecified"
D5744,Sickle-cell thalassemia beta plus without crisis
D5745,Sickle-cell thalassemia beta plus with crisis
D57451,Sickle-cell thalassemia beta plus with acute chest syndrome
D57452,Sickle-cell thalassemia beta plus with splenic sequestration
D57453,Sickle-cell thalassemia beta plus with cerebral vascular involvement
D57458,Sickle-cell thalassemia beta plus with crisis with other specified complication
D57459,"Sickle-cell thalassemia beta plus with crisis, unspecified"
D578,Other sickle-cell disorders
D5780,Other sickle-cell disorders without crisis
D5781,Other sickle-cell disorders with crisis
D57811,Other sickle-cell disorders with acute chest syndrome
D57812,Other sickle-cell disorders with splenic sequestration
D57813,Other sickle-cell disorders with cerebral vascular involvement
D57818,Other sickle-cell disorders with crisis with other specified complication
D57819,"Other sickle-cell disorders with crisis, unspecified"
D58,Other hereditary hemolytic anemias
D580,Hereditary spherocytosis
D581,Hereditary elliptocytosis
D582,Other hemoglobinopathies
D588,Other specified hereditary hemolytic anemias
D589,"Hereditary hemolytic anemia, unspecified"
D59,Acquired hemolytic anemia
D590,Drug-induced autoimmune hemolytic anemia
D591,Other autoimmune hemolytic anemias
D5910,"Autoimmune hemolytic anemia, unspecified"
D5911,Warm autoimmune hemolytic anemia
D5912,Cold autoimmune hemolytic anemia
D5913,Mixed type autoimmune hemolytic anemia
D5919,Other autoimmune hemolytic anemia
D592,Drug-induced nonautoimmune hemolytic anemia
D593,Hemolytic-uremic syndrome
D5930,"Hemolytic-uremic syndrome, unspecified"
D5931,Infection-associated hemolytic-uremic syndrome
D5932,Hereditary hemolytic-uremic syndrome
D5939,Other hemolytic-uremic syndrome
D594,Other nonautoimmune hemolytic anemias
D595,Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli]
D596,Hemoglobinuria due to hemolysis from other external causes
D598,Other acquired hemolytic anemias
D599,"Acquired hemolytic anemia, unspecified"
D60,Acquired pure red cell aplasia [erythroblastopenia]
D600,Chronic acquired pure red cell aplasia
D601,Transient acquired pure red cell aplasia
D608,Other acquired pure red cell aplasias
D609,"Acquired pure red cell aplasia, unspecified"
D61,Other aplastic anemias and other bone marrow failure syndromes
D610,Constitutional aplastic anemia
D6101,Constitutional (pure) red blood cell aplasia
D6109,Other constitutional aplastic anemia
D611,Drug-induced aplastic anemia
D612,Aplastic anemia due to other external agents
D613,Idiopathic aplastic anemia
D618,Other specified aplastic anemias and other bone marrow failure syndromes
D6181,Pancytopenia
D61810,Antineoplastic chemotherapy induced pancytopenia
D61811,Other drug-induced pancytopenia
D61818,Other pancytopenia
D6182,Myelophthisis
D6189,Other specified aplastic anemias and other bone marrow failure syndromes
D619,"Aplastic anemia, unspecified"
D62,Acute posthemorrhagic anemia
D63,Anemia in chronic diseases classified elsewhere
D630,Anemia in neoplastic disease
D631,Anemia in chronic kidney disease
D638,Anemia in other chronic diseases classified elsewhere
D64,Other anemias
D640,Hereditary sideroblastic anemia
D641,Secondary sideroblastic anemia due to disease
D642,Secondary sideroblastic anemia due to drugs and toxins
D643,Other sideroblastic anemias
D644,Congenital dyserythropoietic anemia
D648,Other specified anemias
D6481,Anemia due to antineoplastic chemotherapy
D6489,Other specified anemias
D649,"Anemia, unspecified"
D65,Disseminated intravascular coagulation [defibrination syndrome]
D66,Hereditary factor VIII deficiency
D67,Hereditary factor IX deficiency
D68,Other coagulation defects
D680,Von Willebrand disease
D6800,"Von Willebrand disease, unspecified"
D6801,"Von Willebrand disease, type 1"
D6802,"Von Willebrand disease, type 2"
D68020,"Von Willebrand disease, type 2A"
D68021,"Von Willebrand disease, type 2B"
D68022,"Von Willebrand disease, type 2M"
D68023,"Von Willebrand disease, type 2N"
D68029,"Von Willebrand disease, type 2, unspecified"
D6803,"Von Willebrand disease, type 3"
D6804,Acquired von Willebrand disease
D6809,Other von Willebrand disease
D681,Hereditary factor XI deficiency
D682,Hereditary deficiency of other clotting factors
D683,Hemorrhagic disorder due to circulating anticoagulants
D6831,"Hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
D68311,Acquired hemophilia
D68312,Antiphospholipid antibody with hemorrhagic disorder
D68318,"Other hemorrhagic disorder due to intrinsic circulating anticoagulants, antibodies, or inhibitors"
D6832,Hemorrhagic disorder due to extrinsic circulating anticoagulants
D684,Acquired coagulation factor deficiency
D685,Primary thrombophilia
D6851,Activated protein C resistance
D6852,Prothrombin gene mutation
D6859,Other primary thrombophilia
D686,Other thrombophilia
D6861,Antiphospholipid syndrome
D6862,Lupus anticoagulant syndrome
D6869,Other thrombophilia
D688,Other specified coagulation defects
D689,"Coagulation defect, unspecified"
D69,Purpura and other hemorrhagic conditions
D690,Allergic purpura
D691,Qualitative platelet defects
D692,Other nonthrombocytopenic purpura
D693,Immune thrombocytopenic purpura
D694,Other primary thrombocytopenia
D6941,Evans syndrome
D6942,Congenital and hereditary thrombocytopenia purpura
D6949,Other primary thrombocytopenia
D695,Secondary thrombocytopenia
D6951,Posttransfusion purpura
D6959,Other secondary thrombocytopenia
D696,"Thrombocytopenia, unspecified"
D698,Other specified hemorrhagic conditions
D699,"Hemorrhagic condition, unspecified"
D70,Neutropenia
D700,Congenital agranulocytosis
D701,Agranulocytosis secondary to cancer chemotherapy
D702,Other drug-induced agranulocytosis
D703,Neutropenia due to infection
D704,Cyclic neutropenia
D708,Other neutropenia
D709,"Neutropenia, unspecified"
D71,Functional disorders of polymorphonuclear neutrophils
D72,Other disorders of white blood cells
D720,Genetic anomalies of leukocytes
D721,Eosinophilia
D7210,"Eosinophilia, unspecified"
D7211,Hypereosinophilic syndrome [HES]
D72110,Idiopathic hypereosinophilic syndrome [IHES]
D72111,Lymphocytic Variant Hypereosinophilic Syndrome [LHES]
D72118,Other hypereosinophilic syndrome
D72119,"Hypereosinophilic syndrome [HES], unspecified"
D7212,Drug rash with eosinophilia and systemic symptoms syndrome
D7218,Eosinophilia in diseases classified elsewhere
D7219,Other eosinophilia
D728,Other specified disorders of white blood cells
D7281,Decreased white blood cell count
D72810,Lymphocytopenia
D72818,Other decreased white blood cell count
D72819,"Decreased white blood cell count, unspecified"
D7282,Elevated white blood cell count
D72820,Lymphocytosis (symptomatic)
D72821,Monocytosis (symptomatic)
D72822,Plasmacytosis
D72823,Leukemoid reaction
D72824,Basophilia
D72825,Bandemia
D72828,Other elevated white blood cell count
D72829,"Elevated white blood cell count, unspecified"
D7289,Other specified disorders of white blood cells
D729,"Disorder of white blood cells, unspecified"
D73,Diseases of spleen
D730,Hyposplenism
D731,Hypersplenism
D732,Chronic congestive splenomegaly
D733,Abscess of spleen
D734,Cyst of spleen
D735,Infarction of spleen
D738,Other diseases of spleen
D7381,Neutropenic splenomegaly
D7389,Other diseases of spleen
D739,"Disease of spleen, unspecified"
D74,Methemoglobinemia
D740,Congenital methemoglobinemia
D748,Other methemoglobinemias
D749,"Methemoglobinemia, unspecified"
D75,Other and unspecified diseases of blood and blood-forming organs
D750,Familial erythrocytosis
D751,Secondary polycythemia
D758,Other specified diseases of blood and blood-forming organs
D7581,Myelofibrosis
D7582,Heparin induced thrombocytopenia (HIT)
D75821,Non-immune heparin-induced thrombocytopenia
D75822,Immune-mediated heparin-induced thrombocytopenia
D75828,Other heparin-induced thrombocytopenia syndrome
D75829,"Heparin-induced thrombocytopenia, unspecified"
D7583,Thrombocytosis
D75838,Other thrombocytosis
D75839,"Thrombocytosis, unspecified"
D7584,Other platelet-activating anti-PF4 disorders
D7589,Other specified diseases of blood and blood-forming organs
D759,"Disease of blood and blood-forming organs, unspecified"
D75A,Glucose-6-phosphate dehydrogenase (G6PD) deficiency without anemia
D76,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
D761,Hemophagocytic lymphohistiocytosis
D762,"Hemophagocytic syndrome, infection-associated"
D763,Other histiocytosis syndromes
D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere
D78,Intraoperative and postprocedural complications of the spleen
D780,Intraoperative hemorrhage and hematoma of the spleen complicating a procedure
D7801,Intraoperative hemorrhage and hematoma of the spleen complicating a procedure on the spleen
D7802,Intraoperative hemorrhage and hematoma of the spleen complicating other procedure
D781,Accidental puncture and laceration of the spleen during a procedure
D7811,Accidental puncture and laceration of the spleen during a procedure on the spleen
D7812,Accidental puncture and laceration of the spleen during other procedure
D782,Postprocedural hemorrhage of the spleen following a procedure
D7821,Postprocedural hemorrhage of the spleen following a procedure on the spleen
D7822,Postprocedural hemorrhage of the spleen following other procedure
D783,Postprocedural hematoma and seroma of the spleen following a procedure
D7831,Postprocedural hematoma of the spleen following a procedure on the spleen
D7832,Postprocedural hematoma of the spleen following other procedure
D7833,Postprocedural seroma of the spleen following a procedure on the spleen
D7834,Postprocedural seroma of the spleen following other procedure
D788,Other intraoperative and postprocedural complications of the spleen
D7881,Other intraoperative complications of the spleen
D7889,Other postprocedural complications of the spleen
D80,Immunodeficiency with predominantly antibody defects
D800,Hereditary hypogammaglobulinemia
D801,Nonfamilial hypogammaglobulinemia
D802,Selective deficiency of immunoglobulin A [IgA]
D803,Selective deficiency of immunoglobulin G [IgG] subclasses
D804,Selective deficiency of immunoglobulin M [IgM]
D805,Immunodeficiency with increased immunoglobulin M [IgM]
D806,Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinemia
D807,Transient hypogammaglobulinemia of infancy
D808,Other immunodeficiencies with predominantly antibody defects
D809,"Immunodeficiency with predominantly antibody defects, unspecified"
D81,Combined immunodeficiencies
D810,Severe combined immunodeficiency [SCID] with reticular dysgenesis
D811,Severe combined immunodeficiency [SCID] with low T- and B-cell numbers
D812,Severe combined immunodeficiency [SCID] with low or normal B-cell numbers
D813,Adenosine deaminase [ADA] deficiency
D8130,"Adenosine deaminase deficiency, unspecified"
D8131,Severe combined immunodeficiency due to adenosine deaminase deficiency
D8132,Adenosine deaminase 2 deficiency
D8139,Other adenosine deaminase deficiency
D814,Nezelof's syndrome
D815,Purine nucleoside phosphorylase [PNP] deficiency
D816,Major histocompatibility complex class I deficiency
D817,Major histocompatibility complex class II deficiency
D818,Other combined immunodeficiencies
D8181,Biotin-dependent carboxylase deficiency
D81810,Biotinidase deficiency
D81818,Other biotin-dependent carboxylase deficiency
D81819,"Biotin-dependent carboxylase deficiency, unspecified"
D8182,Activated Phosphoinositide 3-kinase Delta Syndrome [APDS]
D8189,Other combined immunodeficiencies
D819,"Combined immunodeficiency, unspecified"
D82,Immunodeficiency associated with other major defects
D820,Wiskott-Aldrich syndrome
D821,Di George's syndrome
D822,Immunodeficiency with short-limbed stature
D823,Immunodeficiency following hereditary defective response to Epstein-Barr virus
D824,Hyperimmunoglobulin E [IgE] syndrome
D828,Immunodeficiency associated with other specified major defects
D829,"Immunodeficiency associated with major defect, unspecified"
D83,Common variable immunodeficiency
D830,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function
D831,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders
D832,Common variable immunodeficiency with autoantibodies to B- or T-cells
D838,Other common variable immunodeficiencies
D839,"Common variable immunodeficiency, unspecified"
D84,Other immunodeficiencies
D840,Lymphocyte function antigen-1 [LFA-1] defect
D841,Defects in the complement system
D848,Other specified immunodeficiencies
D8481,Immunodeficiency due to conditions classified elsewhere
D8482,Immunodeficiency due to drugs and external causes
D84821,Immunodeficiency due to drugs
D84822,Immunodeficiency due to external causes
D8489,Other immunodeficiencies
D849,"Immunodeficiency, unspecified"
D86,Sarcoidosis
D860,Sarcoidosis of lung
D861,Sarcoidosis of lymph nodes
D862,Sarcoidosis of lung with sarcoidosis of lymph nodes
D863,Sarcoidosis of skin
D868,Sarcoidosis of other sites
D8681,Sarcoid meningitis
D8682,Multiple cranial nerve palsies in sarcoidosis
D8683,Sarcoid iridocyclitis
D8684,Sarcoid pyelonephritis
D8685,Sarcoid myocarditis
D8686,Sarcoid arthropathy
D8687,Sarcoid myositis
D8689,Sarcoidosis of other sites
D869,"Sarcoidosis, unspecified"
D89,"Other disorders involving the immune mechanism, not elsewhere classified"
D890,Polyclonal hypergammaglobulinemia
D891,Cryoglobulinemia
D892,"Hypergammaglobulinemia, unspecified"
D893,Immune reconstitution syndrome
D894,Mast cell activation syndrome and related disorders
D8940,"Mast cell activation, unspecified"
D8941,Monoclonal mast cell activation syndrome
D8942,Idiopathic mast cell activation syndrome
D8943,Secondary mast cell activation
D8944,Hereditary alpha tryptasemia
D8949,Other mast cell activation disorder
D898,"Other specified disorders involving the immune mechanism, not elsewhere classified"
D8981,Graft-versus-host disease
D89810,Acute graft-versus-host disease
D89811,Chronic graft-versus-host disease
D89812,Acute on chronic graft-versus-host disease
D89813,"Graft-versus-host disease, unspecified"
D8982,Autoimmune lymphoproliferative syndrome [ALPS]
D8983,Cytokine release syndrome
D89831,"Cytokine release syndrome, grade 1"
D89832,"Cytokine release syndrome, grade 2"
D89833,"Cytokine release syndrome, grade 3"
D89834,"Cytokine release syndrome, grade 4"
D89835,"Cytokine release syndrome, grade 5"
